name,title,bio,photo_url,category,sort_order,id,created_date,updated_date,created_by_id,created_by,is_sample
"Mark Simonian","Former Chairman / Co-Head TMT Banking Credit Suisse","35+ years as an industry-shaping & deal-making senior executive in the Technology, Media & Telecommunications sector.","https://images.unsplash.com/photo-1560250097-0b93528c311a?w=400&h=400&fit=crop","Advisor","0","692d987332a47c196be3990a","2025-12-01T13:30:27.138000","2025-12-01T13:30:27.138000","690aaad106503b5d0ca5a0fb","hlandis@claravistapartners.com","false"
"Andy Greenfield","Consumer Market Research Expert & Tech Investor & Serial Entrepreneur","30+ years as an entrepreneur building consumer research companies/delivering key consumer insights for Fortune 500 global product launches; 10+ years investing in technology companies.","https://images.unsplash.com/photo-1472099645785-5658abf4ff4e?w=400&h=400&fit=crop","Advisor","0","692d987332a47c196be3990b","2025-12-01T13:30:27.138000","2025-12-01T13:30:27.138000","690aaad106503b5d0ca5a0fb","hlandis@claravistapartners.com","false"
"Charles Baker","Partner, Sidley Austin LLP | Leading Sports Attorney in M&A","30+ years advising on high-stakes transactions across global sports, including team sales, media rights, and sponsorships in the NFL, MLB, NBA, MLS, and international football.","https://images.unsplash.com/photo-1500648767791-00dcc994a43e?w=400&h=400&fit=crop","Advisor","0","692d987332a47c196be3990e","2025-12-01T13:30:27.138000","2025-12-01T13:30:27.138000","690aaad106503b5d0ca5a0fb","hlandis@claravistapartners.com","false"
"Dan Reiss","Executive Vice President, Chief Growth Officer, TelevisaUnivision","30+ years as a media & marketing executive, leading digital transformation and revenue growth for top media brands, including CNN, Turner, and TelevisaUnivision.","https://images.unsplash.com/photo-1519085360753-af0119f7cbe7?w=400&h=400&fit=crop","Advisor","0","692d987332a47c196be3990c","2025-12-01T13:30:27.138000","2025-12-01T13:30:27.138000","690aaad106503b5d0ca5a0fb","hlandis@claravistapartners.com","false"
"Cabell Rosanelli","Sports & Hospitality Executive | Growth & Operations Leader","20+ years leading growth, strategy, and operations across LIV Golf, AvantStay, Lyft, and Sonder, with expertise in venture-backed businesses and hospitality.","https://images.unsplash.com/photo-1507003211169-0a1dd7228f2d?w=400&h=400&fit=crop","Advisor","0","692d987332a47c196be3990d","2025-12-01T13:30:27.138000","2025-12-01T13:30:27.138000","690aaad106503b5d0ca5a0fb","hlandis@claravistapartners.com","false"
"Jeff Gaspin","Partner","30+ years as an innovation-driven leader at global media and independent production companies.","https://ui-avatars.com/api/?name=Jeff+Gaspin&background=0D8ABC&color=fff","Advisor","0","692d9782441b0f2e390a0908","2025-12-01T13:26:26.077000","2025-12-01T13:29:21.433000","690aaad106503b5d0ca5a0fb","hlandis@claravistapartners.com","false"
"Charlie Lambropoulos","Partner","15+ years scaling startups. Co-founded Lyfe Mobile (acquired by RhythmOne) and ScrumLaunch agency with 150+ developers.","https://ui-avatars.com/api/?name=Charlie+Lambropoulos&background=0D8ABC&color=fff","Senior Management","0","692d9782441b0f2e390a090a","2025-12-01T13:26:26.077000","2025-12-01T13:26:26.077000","690aaad106503b5d0ca5a0fb","hlandis@claravistapartners.com","false"
"Wills Hapworth","Partner","15+ years as an investor in and advisor to high-growth early-stage software businesses.","https://ui-avatars.com/api/?name=Wills+Hapworth&background=0D8ABC&color=fff","Senior Management","0","692d9782441b0f2e390a0909","2025-12-01T13:26:26.077000","2025-12-01T13:26:26.077000","690aaad106503b5d0ca5a0fb","hlandis@claravistapartners.com","false"
"Dan Rosensweig","Partner","25+ years as a leader in technology, holding roles such as CEO of Guitar Hero, COO of Yahoo, and now CEO of Chegg.","https://ui-avatars.com/api/?name=Dan+Rosensweig&background=0D8ABC&color=fff","Advisor","0","692d9782441b0f2e390a090c","2025-12-01T13:26:26.077000","2025-12-01T13:29:23.496000","690aaad106503b5d0ca5a0fb","hlandis@claravistapartners.com","false"
"Bob Gold","Managing Partner","30+ years as a PE & VC investment leader, including 13 years as fund CEO. $10B of AUM with majority producing upper-quartile returns.","https://ui-avatars.com/api/?name=Bob+Gold&background=0D8ABC&color=fff","Senior Management","0","692d9782441b0f2e390a0907","2025-12-01T13:26:26.077000","2025-12-01T13:26:26.077000","690aaad106503b5d0ca5a0fb","hlandis@claravistapartners.com","false"
"Ram Parimi","Partner","18+ years in GTM, driving revenue and launching software products to help businesses scale / expand their market reach.","https://ui-avatars.com/api/?name=Ram+Parimi&background=0D8ABC&color=fff","Senior Management","0","692d9782441b0f2e390a090b","2025-12-01T13:26:26.077000","2025-12-01T13:26:26.077000","690aaad106503b5d0ca5a0fb","hlandis@claravistapartners.com","false"
"Lisa Anderson","Commercial Strategy","","https://images.unsplash.com/photo-1487412720507-e7ab37603c6f?w=400&h=400&fit=crop","Advisor","13","6924a06437167dbf459f344d","2025-11-24T18:13:56.076000","2025-11-24T18:13:56.076000","690aaad106503b5d0ca5a0fb","hlandis@claravistapartners.com","false"
"John Smith","Managing Partner","20+ years of private equity experience with a focus on sports and media investments. Previously CFO at major global investment firm.","https://images.unsplash.com/photo-1507003211169-0a1dd7228f2d?w=400&h=400&fit=crop","Senior Management","1","6924a06437167dbf459f3447","2025-11-24T18:13:56.076000","2025-11-24T18:13:56.076000","690aaad106503b5d0ca5a0fb","hlandis@claravistapartners.com","false"
"David Williams","Sports Analytics Advisor","","https://images.unsplash.com/photo-1500648767791-00dcc994a43e?w=400&h=400&fit=crop","Advisor","10","6924a06437167dbf459f344a","2025-11-24T18:13:56.076000","2025-11-24T18:13:56.076000","690aaad106503b5d0ca5a0fb","hlandis@claravistapartners.com","false"
