name,logo_url,category,one_liner,description,milestones,year,location,country,status,status_detail,website,is_representative,id,created_date,updated_date,created_by_id,created_by,is_sample
"HANG Media","","Consumer & Content","Media company","Placeholder description for HANG Media.","[]","","","","","","","false","692541638aa5d5f2f2a1cf13","2025-11-25T05:40:51.052000","2025-11-25T05:40:51.052000","690aaad106503b5d0ca5a0fb","hlandis@claravistapartners.com","false"
"Steelhead","","Enterprise Technology","Technology solutions","Placeholder description for Steelhead.","[]","","","","","","","false","692541638aa5d5f2f2a1cf04","2025-11-25T05:40:51.052000","2025-11-25T05:40:51.052000","690aaad106503b5d0ca5a0fb","hlandis@claravistapartners.com","false"
"ShotQuality","","Sports & Ecosystem","Basketball analytics","Placeholder description for ShotQuality.","[]","","","","","","","false","692541638aa5d5f2f2a1cf0a","2025-11-25T05:40:51.052000","2025-11-25T05:40:51.052000","690aaad106503b5d0ca5a0fb","hlandis@claravistapartners.com","false"
"Audicus","","Consumer & Content","Hearing aid company","Placeholder description for Audicus.","[]","","","","","","","false","692541638aa5d5f2f2a1cf0c","2025-11-25T05:40:51.052000","2025-11-25T05:40:51.052000","690aaad106503b5d0ca5a0fb","hlandis@claravistapartners.com","false"
"Vertoe","","Consumer & Content","Luggage storage platform","Placeholder description for Vertoe.","[]","","","","","","","false","692541638aa5d5f2f2a1cf11","2025-11-25T05:40:51.052000","2025-11-25T05:40:51.052000","690aaad106503b5d0ca5a0fb","hlandis@claravistapartners.com","false"
"StorysLab","","Enterprise Technology","Sales enablement platform","Placeholder description for StorysLab.","[]","","","","","","","false","692541638aa5d5f2f2a1cf05","2025-11-25T05:40:51.052000","2025-11-25T05:40:51.052000","690aaad106503b5d0ca5a0fb","hlandis@claravistapartners.com","false"
"Anton","","Enterprise Technology","Technology solutions","Placeholder description for Anton.","[]","","","","","","","false","692541638aa5d5f2f2a1cf12","2025-11-25T05:40:51.052000","2025-11-25T05:40:51.052000","690aaad106503b5d0ca5a0fb","hlandis@claravistapartners.com","false"
"RentRedi","","Enterprise Technology","Property management software","Placeholder description for RentRedi.","[]","","","","","","","false","692541638aa5d5f2f2a1cf03","2025-11-25T05:40:51.052000","2025-11-25T05:40:51.052000","690aaad106503b5d0ca5a0fb","hlandis@claravistapartners.com","false"
"Trupoly","","Enterprise Technology","Technology platform","Placeholder description for Trupoly.","[]","","","","","","","false","692541638aa5d5f2f2a1cf09","2025-11-25T05:40:51.052000","2025-11-25T05:40:51.052000","690aaad106503b5d0ca5a0fb","hlandis@claravistapartners.com","false"
"Bevi","","Enterprise Technology","Smart water dispensers","Placeholder description for Bevi.","[]","","","","","","","false","692541638aa5d5f2f2a1cf0e","2025-11-25T05:40:51.052000","2025-11-25T05:40:51.052000","690aaad106503b5d0ca5a0fb","hlandis@claravistapartners.com","false"
"Tone","","Consumer & Content","Consumer platform","Placeholder description for Tone.","[]","","","","","","","false","692541638aa5d5f2f2a1cf08","2025-11-25T05:40:51.052000","2025-11-25T05:40:51.052000","690aaad106503b5d0ca5a0fb","hlandis@claravistapartners.com","false"
"Gipper","","Sports & Ecosystem","Sports social media platform","Placeholder description for Gipper.","[]","","","","","","","false","692541638aa5d5f2f2a1cf0b","2025-11-25T05:40:51.052000","2025-11-25T05:40:51.052000","690aaad106503b5d0ca5a0fb","hlandis@claravistapartners.com","false"
"BEGiN (acq. KidPass)","","Consumer & Content","Children's education platform","Placeholder description for BEGiN.","[]","","","","Acquired","Acquired by KidPass","","false","692541638aa5d5f2f2a1cf0d","2025-11-25T05:40:51.052000","2025-11-25T05:40:51.052000","690aaad106503b5d0ca5a0fb","hlandis@claravistapartners.com","false"
"Team Support","","Enterprise Technology","Customer support software","Placeholder description for Team Support.","[]","","","","","","","false","692541638aa5d5f2f2a1cf07","2025-11-25T05:40:51.052000","2025-11-25T05:40:51.052000","690aaad106503b5d0ca5a0fb","hlandis@claravistapartners.com","false"
